"Date","Latitude","Longitude","Region","Island","Site","Transect_Number","Colony_Density","Montipora_Density","Porites_Density","Tissue_Loss_Prevalence","Growth_anomalies_Prevalence","White_Syndrome_Prevalence","sst_lat","sst_lon","DHW_from_HSge1","DHW_from_HSgt0","MPSA","HotSnap","ColdSnap","WinterCondition"
2004-09-16,23.8479,-166.3264,"NWHI","French_Frigate_Shoals","21","1",0.176,0.0096,0.0544,0.00145454545454545,0,0.00581818181818182,23.8479,-166.3264,2.1708,6.2926,0.25092,2.3067,-0.62797,1.6302
2004-09-16,23.8669,-166.2418,"NWHI","French_Frigate_Shoals","23","1",0.1072,0,0.0166666666666667,0,0,0,23.8669,-166.2418,1.476,8.1119,0.2225,2.9589,-0.0042686,1.5449
2004-09-16,23.8805,-166.2737,"NWHI","French_Frigate_Shoals","H6","1",0.3584,0.0416,0.1536,0.00214285714285714,0,0,23.8805,-166.2737,2.5037,7.6753,0.31274,2.3931,-0.01005,2.0157
2004-09-17,23.7694,-166.2612,"NWHI","French_Frigate_Shoals","R46","1",0.2496,0.0448,0.1,0.0112820512820513,0,0,23.7694,-166.2612,3.6066,7.8532,0.36406,3.3127,-0.10029,4.3704
2004-09-17,23.8063,-166.2309,"NWHI","French_Frigate_Shoals","32","1",0.2944,0.0176,0.2144,0,0,0,23.8063,-166.2309,0,4.7758,0.38628,1.3222,-0.29947,1.7168
2004-09-17,23.8358,-166.266,"NWHI","French_Frigate_Shoals","33","1",0.1872,0.0224,0.16,0.00273504273504274,0,0,23.8358,-166.266,1.3728,6.9201,0.2399,2.619,-0.32556,1.8621
2004-09-18,23.8496,-166.2973,"NWHI","French_Frigate_Shoals","30","1",0.12,0.008,0.04,0,0,0.0128,23.8496,-166.2973,3.1977,6.3518,0.25306,2.3264,-0.63331,1.6442
2004-09-18,23.8496,-166.2973,"NWHI","French_Frigate_Shoals","30","2",0.088,0.008,0.0368,0,0,0,23.8496,-166.2973,3.1977,6.3518,0.25306,2.3264,-0.63331,1.6442
2004-09-18,23.8666,-166.2145,"NWHI","French_Frigate_Shoals","R30","1",0.0864,0,0.0624,0,0,0,23.8666,-166.2145,1.476,8.1119,0.2225,2.9589,-0.0042686,1.5449
2004-09-19,23.6278,-166.1358,"NWHI","French_Frigate_Shoals","34","1",0.2304,0.0016,0.1408,0,0,0,23.6278,-166.1358,0,5.0031,0.38105,1.1147,-0.21685,1.9017
